customerID,PaymentMethod,Churn
11668,"Electronic check",Yes
11677,"Electronic check",Yes
11685,"Electronic check",Yes
11707,"Electronic check",Yes
11755,"Electronic check",Yes
11761,"Electronic check",Yes
11769,"Electronic check",Yes
11783,"Credit card (automatic)",Yes
11797,"Electronic check",Yes
11799,"Electronic check",Yes
11825,"Credit card (automatic)",Yes
11841,"Credit card (automatic)",Yes
11844,"Electronic check",Yes
11849,"Electronic check",Yes
11869,"Credit card (automatic)",Yes
11882,"Electronic check",Yes
11892,"Electronic check",Yes
11895,"Credit card (automatic)",Yes
11902,"Electronic check",Yes
11916,"Electronic check",Yes
11924,"Electronic check",Yes
11929,"Electronic check",Yes
11933,"Electronic check",Yes
11942,"Credit card (automatic)",Yes
11957,"Credit card (automatic)",Yes
12013,"Credit card (automatic)",Yes
12024,"Credit card (automatic)",Yes
12031,"Electronic check",Yes
12039,"Electronic check",Yes
12050,"Electronic check",Yes
12070,"Electronic check",Yes
12075,"Electronic check",Yes
12084,"Electronic check",Yes
12091,"Credit card (automatic)",Yes
12113,"Electronic check",Yes
12121,"Electronic check",Yes
12125,"Electronic check",Yes
12126,"Electronic check",Yes
12135,"Credit card (automatic)",Yes
12141,"Electronic check",Yes
12145,"Electronic check",Yes
12153,"Electronic check",Yes
12181,"Electronic check",Yes
12185,"Electronic check",Yes
12186,"Electronic check",Yes
